"probe_id","Symbol","logFC","pvalue","adj_pval","dataset"
"8142897","8142897",0.0370059648000001,0.74273166330376,0.812009406495351,"GSE78851"
"8142899","8142899",0.0333252892,0.785912649131098,0.84541909556827,"GSE78851"
"8142912","8142912",-0.874439197066667,0.00235398589387984,0.0214986456091165,"GSE78851"
"8142930","8142930",-0.609363775,0.00262616201525931,0.0228288681778142,"GSE78851"
"8142945","8142945",-0.419021670066667,0.0264607110913475,0.0824532427574295,"GSE78851"
"8142971","8142971",0.673924159666667,0.0284997670291811,0.0863517815244993,"GSE78851"
"8142975","8142975",-0.124536322866667,0.251371422213873,0.366673820822207,"GSE78851"
"8142977","8142977",-0.0651999476,0.483588081243106,0.593794577746894,"GSE78851"
"8142979","8142979",1.18933095866667,0.00479647632498831,0.0318980592089582,"GSE78851"
"8142981","8142981",-2.66116728933333,4.54895652208959e-06,0.000898025456149105,"GSE78851"
"8142993","8142993",-0.0544388466666668,0.748373701014849,0.816137820134394,"GSE78851"
"8142997","8142997",0.659690129133333,0.00557533062066367,0.034584060955724,"GSE78851"
"8143028","8143028",-0.793763173333334,0.14696883383623,0.247974474811111,"GSE78851"
"8143035","8143035",-1.69319698266667,0.00778144012144666,0.0416566868192978,"GSE78851"
"8143038","8143038",2.605630608,0.000812690306477582,0.0120562982824775,"GSE78851"
"8143040","8143040",-0.299763455066667,0.0407838989580125,0.106957701582382,"GSE78851"
"8143054","8143054",-1.12458206933333,0.00815602031416828,0.0426193499677877,"GSE78851"
"8143065","8143065",-0.0569943835333337,0.855306761862984,0.898296318645092,"GSE78851"
"8143070","8143070",-0.292515722533333,0.0711122058372151,0.151249399741676,"GSE78851"
"8143088","8143088",-0.914397498,0.000350067206216217,0.00761574240863299,"GSE78851"
"8143108","8143108",-0.630317686,0.0216435385408859,0.0735655868711711,"GSE78851"
"8143110","8143110",0.198325056333333,0.458363008539053,0.571400021310732,"GSE78851"
"8143127","8143127",0.0909997354000002,0.68450383564723,0.765475222198629,"GSE78851"
"8143132","8143132",-2.055236542,0.00213614660031377,0.02045386938788,"GSE78851"
"8143142","8143142",-0.210128811933333,0.182134315680145,0.289523460127202,"GSE78851"
"8143144","8143144",-0.285930694666667,0.511959710288638,0.620135422211982,"GSE78851"
"8143154","8143154",0.453948962733333,0.046332246063271,0.11578649684908,"GSE78851"
"8143188","8143188",-0.894686690533334,0.0010126839889686,0.0137076591866654,"GSE78851"
"8143205","8143205",0.156296859733333,0.168011232623494,0.273118772149763,"GSE78851"
"8143207","8143207",-0.2959823,0.177789673598485,0.28468871863615,"GSE78851"
"8143209","8143209",0.3796822552,0.0494194461754511,0.120578937765306,"GSE78851"
"8143221","8143221",0.000508530600000169,0.998109973103107,0.998940433819158,"GSE78851"
"8143247","8143247",-0.208716389933333,0.15856114757954,0.261751016095251,"GSE78851"
"8143268","8143268",0.0108072934666667,0.928874141976959,0.951586684542566,"GSE78851"
"8143270","8143270",-0.587190680733333,0.0261920041031347,0.0820738656010877,"GSE78851"
"8143279","8143279",-0.451542567666667,0.193621897676268,0.302389535516157,"GSE78851"
"8143294","8143294",0.0609069831333334,0.55685697647171,0.659253805772475,"GSE78851"
"8143296","8143296",0.6630586848,0.0301483338818934,0.0891571656255257,"GSE78851"
"8143307","8143307",-1.6912597872,1.18050832501289e-05,0.00145021680148072,"GSE78851"
"8143327","8143327",-0.443482083466667,0.0251434536760729,0.080241205891686,"GSE78851"
"8143341","8143341",-0.988061461066667,0.0197213946937906,0.0696419996687025,"GSE78851"
"8143363","8143363",-0.148048467333333,0.356500227105539,0.473665549351519,"GSE78851"
"8143365","8143365",0.340242927266667,0.225196323434934,0.337076406970659,"GSE78851"
"8143367","8143367",-0.318522934333334,0.194614415851489,0.303479909858837,"GSE78851"
"8143383","8143383",-1.11131119853333,0.00806733159973469,0.0423967071916805,"GSE78851"
"8143385","8143385",1.52416507666667,0.0011314813218568,0.0144617893392806,"GSE78851"
"8143387","8143387",0.285656591333333,0.382666213477816,0.499646995797024,"GSE78851"
"8143397","8143397",-0.505661641333334,0.00920970640934376,0.0457222724559493,"GSE78851"
"8143417","8143417",-0.4860453926,0.144217109630331,0.244647064162535,"GSE78851"
"8143433","8143433",-1.58640036466667,0.0030049727964619,0.0243886830623467,"GSE78851"
"8143437","8143437",0.293158874733333,0.159887000008237,0.26339750075541,"GSE78851"
"8143441","8143441",-0.335527617,0.0967024178217799,0.186138291778701,"GSE78851"
"8143448","8143448",0.195349150533333,0.264976151623079,0.381469165498468,"GSE78851"
"8143457","8143457",-0.0715346024,0.48922291426942,0.598981140508244,"GSE78851"
"8143459","8143459",0.6483497232,0.0795925029670917,0.16318130588431,"GSE78851"
"8143461","8143461",0.183417003933334,0.379088108648341,0.496096763761059,"GSE78851"
"8143463","8143463",0.447524500266667,0.0709729391040141,0.151044436343073,"GSE78851"
"8143471","8143471",0.325788245933333,0.0762422987139032,0.158259142710919,"GSE78851"
"8143482","8143482",0.3054050104,0.132238533287312,0.230525673315242,"GSE78851"
"8143486","8143486",0.427903046266667,0.0528806136750873,0.125432695015273,"GSE78851"
"8143494","8143494",0.3210951514,0.0726072933658211,0.153335768264659,"GSE78851"
"8143499","8143499",-0.175986572133333,0.369848609599984,0.486763597471709,"GSE78851"
"8143518","8143518",0.468393915466667,0.201414691450335,0.310711657591444,"GSE78851"
"8143534","8143534",0.508088401466667,0.0996706821873639,0.189889323834687,"GSE78851"
"8143555","8143555",0.485912800666667,0.10405986828025,0.195643395466137,"GSE78851"
"8143557","8143557",0.627962365666667,0.047867642718537,0.118072330301822,"GSE78851"
"8143562","8143562",-0.0638530534,0.492749648110381,0.602098941475433,"GSE78851"
"8143564","8143564",0.320910463133333,0.0530738281780473,0.125723175980311,"GSE78851"
"8143575","8143575",0.3813708294,0.0385237257860408,0.103245014213139,"GSE78851"
"8143594","8143594",0.797361015333333,0.000459317400918046,0.00888742228358115,"GSE78851"
"8143597","8143597",-2.67491027833333,6.92570592829472e-07,0.000393588857058536,"GSE78851"
"8143599","8143599",0.346354556933333,0.174427910950769,0.280720223059302,"GSE78851"
"8143601","8143601",-0.1479128814,0.315173181694482,0.433500146854923,"GSE78851"
"8143605","8143605",0.115875821933333,0.581150068898642,0.680258741395405,"GSE78851"
"8143610","8143610",-0.2555988318,0.104630877422291,0.196461060182381,"GSE78851"
"8143627","8143627",0.53240247,0.112176712673305,0.205775551302002,"GSE78851"
"8143629","8143629",0.4571358284,0.13380718622721,0.232502325582082,"GSE78851"
"8143633","8143633",0.0738218386666668,0.795575297519104,0.852889571245833,"GSE78851"
"8143635","8143635",0.2853730816,0.0826003562151694,0.167386612633422,"GSE78851"
"8143643","8143643",0.207934123866667,0.226632531733741,0.338716843995722,"GSE78851"
"8143657","8143657",0.269730121533334,0.113999122832047,0.208096154096641,"GSE78851"
"8143659","8143659",0.498492753533334,0.0198876285497103,0.0699824413215002,"GSE78851"
"8143661","8143661",1.047465874,0.000207275626816855,0.00590122294928579,"GSE78851"
"8143663","8143663",-0.2822575926,0.206878800151091,0.316904599467358,"GSE78851"
"8143684","8143684",-1.38525909066667,0.00747510060062046,0.0406697257356354,"GSE78851"
"8143697","8143697",0.152152538,0.352455012591204,0.469804402922498,"GSE78851"
"8143702","8143702",0.2056599956,0.0933764937337655,0.181981097522452,"GSE78851"
"8143708","8143708",0.906371640666667,0.00110991595671746,0.014375129544404,"GSE78851"
"8143710","8143710",1.09026820266667,0.000704613760952383,0.0111155708551554,"GSE78851"
"8143712","8143712",0.902339799800001,0.0190323128662887,0.0681269485600607,"GSE78851"
"8143714","8143714",-0.286238823333333,0.215581798376483,0.326408503557492,"GSE78851"
"8143725","8143725",0.485804682666667,0.00707159956225675,0.03935042555181,"GSE78851"
"8143733","8143733",-0.0698730800000002,0.682624509264837,0.764110355652046,"GSE78851"
"8143747","8143747",0.153496910466667,0.351268388509073,0.468547202692253,"GSE78851"
"8143749","8143749",0.254335755466667,0.201552092237667,0.31087286161293,"GSE78851"
"8143759","8143759",0.868624984666667,0.00252724330167057,0.0222707530146299,"GSE78851"
"8143766","8143766",-0.290974972666667,0.346202442573989,0.463911915831251,"GSE78851"
"8143772","8143772",-1.12668835733333,0.000970525424135318,0.0133788069232273,"GSE78851"
"8143781","8143781",0.297391986666667,0.207750753770728,0.317734504694169,"GSE78851"
"8143788","8143788",0.989110206866667,0.00234430990571923,0.0214645996410429,"GSE78851"
"8143790","8143790",-0.0416573233333334,0.810582283338236,0.864291779785467,"GSE78851"
"8143803","8143803",0.438599717666667,0.0460468025134915,0.115379584548371,"GSE78851"
"8143825","8143825",0.524573134933333,0.0146120965870319,0.0589486607561521,"GSE78851"
"8143850","8143850",-0.134765591466667,0.700480527968146,0.778447882857257,"GSE78851"
"8143863","8143863",0.2567238744,0.10799883572479,0.200670553423374,"GSE78851"
"8143879","8143879",-0.169609636,0.323074462116805,0.441486161452714,"GSE78851"
"8143885","8143885",0.363232451333333,0.0409334300108396,0.107223227564008,"GSE78851"
"8143887","8143887",0.525953039333333,0.0211483504587837,0.0726107994237805,"GSE78851"
"8143894","8143894",0.168626087533333,0.213544329330551,0.324122568004399,"GSE78851"
"8143899","8143899",0.456065174333333,0.0538354973292257,0.12666478992644,"GSE78851"
"8143905","8143905",-0.718783287933333,0.000461263256285771,0.00891051455988078,"GSE78851"
"8143919","8143919",-0.195833427666667,0.134412879528507,0.233265128891403,"GSE78851"
"8143937","8143937",-0.5407610226,0.00117290359323308,0.0147814362829436,"GSE78851"
"8143939","8143939",0.489051588666667,0.0415460617959294,0.108185178344124,"GSE78851"
"8143941","8143941",0.172553189333333,0.319778474775969,0.438110171698566,"GSE78851"
"8143949","8143949",0.283733273866667,0.199439708880878,0.308550582520008,"GSE78851"
"8143955","8143955",0.1328038256,0.405636279989503,0.521454947990246,"GSE78851"
"8143957","8143957",-0.850640110133334,0.072819421307337,0.153660103334662,"GSE78851"
"8143961","8143961",0.97810639,0.0153966188588962,0.0606487626137772,"GSE78851"
"8143984","8143984",0.877514350666667,0.0103553956645759,0.0485648605576743,"GSE78851"
"8143986","8143986",-1.35666875466667,0.00106392976432017,0.0140024919939237,"GSE78851"
"8143988","8143988",-1.649428536,0.000489873988905402,0.00921305901565479,"GSE78851"
"8144036","8144036",-0.478691167,0.0292877937629772,0.0875631025417759,"GSE78851"
"8144042","8144042",0.626310388133334,0.0823660237150446,0.167076962789878,"GSE78851"
"8144044","8144044",0.991887681066667,0.0518548617177591,0.123882654992551,"GSE78851"
"8144047","8144047",-0.708636048,0.000229851473466411,0.00615113629049989,"GSE78851"
"8144072","8144072",0.461318843333333,0.0464505681429472,0.115951703564094,"GSE78851"
"8144078","8144078",0.708016199333333,0.00134116531167279,0.0159129742413716,"GSE78851"
"8144082","8144082",0.3914842044,0.127908162152223,0.225116181989423,"GSE78851"
"8144089","8144089",0.532101181533333,0.336991917306062,0.454757147698252,"GSE78851"
"8144112","8144112",0.3698865568,0.0103485660575765,0.048553998621189,"GSE78851"
"8144117","8144117",-0.519724902866667,0.106330113832036,0.198546935736146,"GSE78851"
"8144119","8144119",0.956997226,0.00156801311194691,0.017284066639479,"GSE78851"
"8144121","8144121",0.159259643333334,0.435011156946305,0.549358577860144,"GSE78851"
"8144149","8144149",0.4336388046,0.0941359563508122,0.182911696956498,"GSE78851"
"8144151","8144151",-0.2463765142,0.074105798507238,0.155465467415555,"GSE78851"
"8144153","8144153",-0.440009182066667,0.0497184538609113,0.120950707382712,"GSE78851"
"8144184","8144184",0.132696122,0.537532180385782,0.642302008094252,"GSE78851"
"8144213","8144213",-0.122189715666667,0.335616961171937,0.453219480403811,"GSE78851"
"8144226","8144226",-0.618179961866667,0.0408284967097009,0.107026048443871,"GSE78851"
"8144228","8144228",0.0659625906000004,0.866114458063332,0.906828187004361,"GSE78851"
