"probe_id","symbol","log2FC","CI.L","CI.R","pvalue","adj_pval","dataset"
"200096_s_at","ATP6V0E1",0.326422332916669,0.0207263557256248,0.632118310107712,0.0379767203598145,0.0862780464242264,"GSE25628"
"200097_s_at","HNRNPK",-0.836027846333334,-1.28353703616264,-0.388518656504033,0.0012315737902298,0.00802626962225268,"GSE25628"
"200098_s_at","ANAPC5",-0.374531568124999,-0.629074893838003,-0.119988242411994,0.00686099757686022,0.0251246466828821,"GSE25628"
"200099_s_at","RPS3A /// SNORD73A",-0.370668613333332,-0.642233753313035,-0.0991034733536293,0.0108616933278045,0.0348851383111261,"GSE25628"
"200593_s_at","HNRNPU",-0.418078142624999,-0.847925548668327,0.0117692634183295,0.0557883874237956,0.115004136039941,"GSE25628"
"200594_x_at","HNRNPU",-0.334500408874999,-0.777907407267501,0.108906589517503,0.128467776491307,0.213665129795338,"GSE25628"
"200595_s_at","EIF3A",-1.17350603816667,-1.75249417069207,-0.594517905641263,0.000625652459661693,0.00528012757640282,"GSE25628"
"200596_s_at","EIF3A",-1.02325313770833,-1.63804253729691,-0.408463738119752,0.00297040564117293,0.0141968947582942,"GSE25628"
"200597_at","EIF3A",-0.673781001041666,-1.30985253599556,-0.0377094660877731,0.0393224963399268,0.088546169105888,"GSE25628"
"200598_s_at","HSP90B1 /// MIR3652",-1.50180724920833,-2.31980825253107,-0.683806245885599,0.00141470702699701,0.00872278672582682,"GSE25628"
"200599_s_at","HSP90B1 /// MIR3652",-1.19430438791667,-1.87664857906089,-0.511960196772441,0.00204744228301423,0.0110836875644956,"GSE25628"
"200600_at","MSN",1.160591204625,0.71384361726613,1.60733879198387,6.04052836983916e-05,0.00144974491616374,"GSE25628"
"200601_at","ACTN4",0.6866465975,0.375759732779647,0.997533462220353,0.000291627729789509,0.00339182825867499,"GSE25628"
"200602_at","APP",-0.545225611999999,-1.43574228753561,0.345291063535608,0.21115842037041,0.309350002011813,"GSE25628"
"200603_at","PRKAR1A",-0.619836814125,-1.36043475743138,0.120761129181376,0.0945497442917415,0.170480344280625,"GSE25628"
"200604_s_at","PRKAR1A",0.407987806833335,-0.0619210665201835,0.877896680186854,0.0839249671232778,0.155890643926062,"GSE25628"
"200605_s_at","PRKAR1A",-0.748611651083334,-1.29405384402853,-0.203169458138136,0.0105146484081961,0.034065564658142,"GSE25628"
"200606_at","DSP",-1.61830644783333,-2.41428729731331,-0.822325598353359,0.000609235751552833,0.00520396657873561,"GSE25628"
"200607_s_at","RAD21",-1.54402733875,-2.29048359409573,-0.797571083404273,0.000524582399715019,0.00472739567898523,"GSE25628"
"200608_s_at","RAD21",-1.212608369625,-2.10689033592649,-0.318326403323505,0.0112888721645692,0.0359055118803695,"GSE25628"
"200609_s_at","WDR1",0.579645141666668,0.289547653971365,0.869742629361972,0.000706760626707346,0.00566552950023733,"GSE25628"
"200610_s_at","NCL",-0.251763981833333,-0.746004085589675,0.242476121923009,0.294214224488427,0.3981390994534,"GSE25628"
"200611_s_at","WDR1",0.882597724999999,0.449137806879087,1.31605764312091,0.000601360201870966,0.00516641003358253,"GSE25628"
"200612_s_at","AP2B1",-0.56197367525,-1.42556924792198,0.301621897421977,0.185351784585846,0.281291757287205,"GSE25628"
"200613_at","AP2M1",1.2483673875,0.873394933869838,1.62333984113017,4.02862397164025e-06,0.000440036014078441,"GSE25628"
"200614_at","CLTC",-0.774218405416666,-1.28301657188855,-0.265420238944785,0.00551804316545495,0.0216379946482732,"GSE25628"
"200615_s_at","AP2B1",0.545283665875,0.086547925627998,1.004019406122,0.0229963226430909,0.0603189779253663,"GSE25628"
"200616_s_at","MLEC",-0.565067999083333,-1.09755025480532,-0.0325857433613457,0.0390166589161099,0.0880354614275479,"GSE25628"
"200617_at","MLEC",0.246573145875001,-0.163899413770665,0.657045705520666,0.21944416332389,0.318614065513971,"GSE25628"
"200618_at","LASP1",0.688624569083333,0.243558886322899,1.13369025184377,0.00493852530340633,0.0200575256488574,"GSE25628"
"200619_at","SF3B2",0.632483296708335,0.319086686541827,0.945879906874842,0.000649072387128397,0.00538482022060813,"GSE25628"
"200620_at","TMEM59",-0.297018902083332,-0.753833300979981,0.159795496813318,0.185696010918066,0.281622304800991,"GSE25628"
"200621_at","CSRP1",2.08452358391667,1.30708842406503,2.86195874376831,4.36126726743166e-05,0.00124558911431507,"GSE25628"
"200622_x_at","CALM1 /// CALM2 /// CALM3",0.437652603916667,0.0121311824556053,0.863174025377729,0.0445672988882551,0.0972786319158983,"GSE25628"
"200623_s_at","CALM1 /// CALM2 /// CALM3",1.11631758570834,0.639244352522723,1.59339081889395,0.000169841148655496,0.00251812925864467,"GSE25628"
"200624_s_at","MATR3 /// SNHG4",-1.674178953,-2.46534837699814,-0.883009529001859,0.000429312406547163,0.00420017236743572,"GSE25628"
"200625_s_at","CAP1",-0.432854656666665,-0.802960574246537,-0.0627487390867928,0.0249166297239208,0.0637642458770573,"GSE25628"
